"Reference","Value","Qty","MFN","MPN"
"C1","82uF","1","Rubycon","80ZLJ82M8X20"
"C2","120uF","1","Panasonic","EEU-FM1H121LB"
"C4,C6","4.7uF","2","KEMET","C1206C475K3PAC"
"C5","100nF","1","KEMET","C1206C104K5RAC7210"
"C7","10uF","1","Samsung Electro-Mechanics","CL32B106KBJNNNE"
"C8","10uF","1","Samsung Electro-Mechanics","CL31B106KAHNNNE"
"D1","SR515 A0G","1","Taiwan Semiconductor","SR515 A0G"
"D2","B360A-M3/61T","1","Vishay General Semiconductor","B360A-M3/61T"
"D3","78-SMBJ26CD-M3/H","1","Vishay General Semiconductor","78-SMBJ26CD-M3/H"
"D4","VS-50WQ10FNTR-M3","1","Vishay Semiconductors","VS-50WQ10FNTR-M3"
"D5","BAS 70-04","1","Diotec Semiconductor","BAS70-04"
"H1,H2,H3,H4","Standoff","4","Wurth Elektronik","710-973150485"
"J1,J2,J3,J4,J5,J6","~","6","Keystone Electronics","534-575-8"
"J7","CONBNC001","1","TE Connectivity","CONBNC001"
"J8","Terminal_block","1"," Phoenix Contact","1755736"
"L1","150uH","1","Murata Power Solutions","60B154C"
"Q1","IRFB4615PBF","1","Infineon","IRFB4615PBF"
"R1","2.2k","1","YAGEO","RC1206JR-132K2L"
"R2","47k","1","YAGEO","RC1206JR-1047KL"
"R3","10R","1","KOA Speer","RK73B2BTTDD100J"
"R4","10k","1","YAGEO","RC1206FR-1310KL"
"U1","ROE-5012S","1","RECOM Power","ROE-5012S"
"U2","1ED3122MC12HXUMA1","1","Infineon Technologies","1ED3122MC12HXUMA1"
"U3","AP7583Q-50D4-13","1","Diodes Incorporated","AP7583Q-50D4-13"
